position,champion,build_path,pick_count,win_count,win_rate
BOTTOM,갈리오,마법공학 로켓 벨트 > 밴들파이프 > 얼어붙은 심장,1,1,100.0
BOTTOM,그레이브즈,정수 약탈자 > 칠흑의 양날 도끼 > 불멸의 철갑궁,2,1,50.0
BOTTOM,그레이브즈,정수 약탈자 > 칠흑의 양날 도끼 > 유령 무희,3,2,66.66666666666666
BOTTOM,그레이브즈,징수의 총 > 무한의 대검 > 필멸자의 운명,1,0,0.0
BOTTOM,나피리,요우무의 유령검 > 불경한 히드라 > 밤의 끝자락,1,0,0.0
BOTTOM,니코,루덴의 메아리 > 그림자불꽃 > 존야의 모래시계,1,1,100.0
BOTTOM,니코,루덴의 메아리 > 마법공학 로켓 벨트 > 존야의 모래시계,1,0,0.0
BOTTOM,닐라,불멸의 철갑궁 > 징수의 총 > 무한의 대검,1,1,100.0
BOTTOM,닐라,윤 탈 야생화살 > 무한의 대검 > 도미닉 경의 인사,3,2,66.66666666666666
BOTTOM,닐라,징수의 총 > 나보리 명멸검 > 나보리 명멸검,1,1,100.0
BOTTOM,닐라,징수의 총 > 나보리 명멸검 > 무한의 대검,2,0,0.0
BOTTOM,닐라,징수의 총 > 나보리 명멸검 > 불멸의 철갑궁,2,2,100.0
BOTTOM,닐라,징수의 총 > 도미닉 경의 인사 > 나보리 명멸검,1,1,100.0
BOTTOM,닐라,징수의 총 > 도미닉 경의 인사 > 무한의 대검,6,3,50.0
BOTTOM,닐라,징수의 총 > 도미닉 경의 인사 > 불멸의 철갑궁,1,0,0.0
BOTTOM,닐라,징수의 총 > 도미닉 경의 인사 > 유령 무희,1,1,100.0
BOTTOM,닐라,징수의 총 > 도미닉 경의 인사 > 죽음의 무도,1,1,100.0
BOTTOM,닐라,징수의 총 > 독사의 송곳니 > 도미닉 경의 인사,1,0,0.0
BOTTOM,닐라,징수의 총 > 독사의 송곳니 > 필멸자의 운명,1,0,0.0
BOTTOM,닐라,징수의 총 > 무한의 대검 > 나보리 명멸검,3,2,66.66666666666666
BOTTOM,닐라,징수의 총 > 무한의 대검 > 도미닉 경의 인사,151,100,66.22516556291392
BOTTOM,닐라,징수의 총 > 무한의 대검 > 맬모셔스의 아귀,2,0,0.0
BOTTOM,닐라,징수의 총 > 무한의 대검 > 무한의 대검,4,2,50.0
BOTTOM,닐라,징수의 총 > 무한의 대검 > 불멸의 철갑궁,50,32,64.0
BOTTOM,닐라,징수의 총 > 무한의 대검 > 악마사냥꾼의 화살,6,4,66.66666666666666
BOTTOM,닐라,징수의 총 > 무한의 대검 > 유령 무희,22,12,54.54545454545454
BOTTOM,닐라,징수의 총 > 무한의 대검 > 정수 약탈자,1,1,100.0
BOTTOM,닐라,징수의 총 > 무한의 대검 > 죽음의 무도,1,1,100.0
BOTTOM,닐라,징수의 총 > 무한의 대검 > 폭풍갈퀴,1,0,0.0
BOTTOM,닐라,징수의 총 > 무한의 대검 > 피바라기,1,0,0.0
BOTTOM,닐라,징수의 총 > 무한의 대검 > 필멸자의 운명,181,109,60.22099447513812
BOTTOM,닐라,징수의 총 > 불멸의 철갑궁 > 나보리 명멸검,17,12,70.58823529411765
BOTTOM,닐라,징수의 총 > 불멸의 철갑궁 > 도미닉 경의 인사,3,2,66.66666666666666
BOTTOM,닐라,징수의 총 > 불멸의 철갑궁 > 무한의 대검,11,8,72.72727272727273
BOTTOM,닐라,징수의 총 > 불멸의 철갑궁 > 유령 무희,1,1,100.0
BOTTOM,닐라,징수의 총 > 불멸의 철갑궁 > 필멸자의 운명,2,1,50.0
BOTTOM,닐라,징수의 총 > 악마사냥꾼의 화살 > 도미닉 경의 인사,1,1,100.0
BOTTOM,닐라,징수의 총 > 악마사냥꾼의 화살 > 무한의 대검,3,1,33.33333333333333
BOTTOM,닐라,징수의 총 > 악마사냥꾼의 화살 > 악마사냥꾼의 화살,1,1,100.0
BOTTOM,닐라,징수의 총 > 악마사냥꾼의 화살 > 필멸자의 운명,1,0,0.0
BOTTOM,닐라,징수의 총 > 유령 무희 > 무한의 대검,2,1,50.0
BOTTOM,닐라,징수의 총 > 유령 무희 > 불멸의 철갑궁,1,1,100.0
BOTTOM,닐라,징수의 총 > 윤 탈 야생화살 > 무한의 대검,4,2,50.0
BOTTOM,닐라,징수의 총 > 윤 탈 야생화살 > 필멸자의 운명,1,0,0.0
BOTTOM,닐라,징수의 총 > 징수의 총 > 무한의 대검,1,0,0.0
BOTTOM,닐라,징수의 총 > 필멸자의 운명 > 무한의 대검,7,6,85.71428571428571
BOTTOM,닐라,징수의 총 > 필멸자의 운명 > 죽음의 무도,2,2,100.0
BOTTOM,다리우스,발걸음 분쇄기 > 스테락의 도전 > 밴들파이프,1,0,0.0
BOTTOM,드레이븐,독사의 송곳니 > 끝없는 갈망 > 도미닉 경의 인사,1,1,100.0
BOTTOM,드레이븐,독사의 송곳니 > 도미닉 경의 인사 > 맬모셔스의 아귀,1,0,0.0
BOTTOM,드레이븐,독사의 송곳니 > 도미닉 경의 인사 > 징수의 총,1,1,100.0
BOTTOM,드레이븐,독사의 송곳니 > 무한의 대검 > 도미닉 경의 인사,1,1,100.0
BOTTOM,드레이븐,독사의 송곳니 > 징수의 총 > 도미닉 경의 인사,1,1,100.0
BOTTOM,드레이븐,독사의 송곳니 > 징수의 총 > 무한의 대검,2,2,100.0
BOTTOM,드레이븐,독사의 송곳니 > 징수의 총 > 필멸자의 운명,1,0,0.0
BOTTOM,드레이븐,독사의 송곳니 > 필멸자의 운명 > 무한의 대검,1,1,100.0
BOTTOM,드레이븐,맬모셔스의 아귀 > 피바라기 > 도미닉 경의 인사,1,0,0.0
BOTTOM,드레이븐,무한의 대검 > 불멸의 철갑궁 > 도미닉 경의 인사,1,1,100.0
BOTTOM,드레이븐,무한의 대검 > 징수의 총 > 피바라기,1,1,100.0
BOTTOM,드레이븐,무한의 대검 > 피바라기 > 정수 약탈자,1,1,100.0
BOTTOM,드레이븐,무한의 대검 > 피바라기 > 징수의 총,1,0,0.0
BOTTOM,드레이븐,밤의 끝자락 > 징수의 총 > 도미닉 경의 인사,1,0,0.0
BOTTOM,드레이븐,밤의 끝자락 > 피바라기 > 필멸자의 운명,1,0,0.0
BOTTOM,드레이븐,삼위일체 > 끝없는 갈망 > 도미닉 경의 인사,1,1,100.0
BOTTOM,드레이븐,삼위일체 > 징수의 총 > 피바라기,1,0,0.0
BOTTOM,드레이븐,삼위일체 > 피바라기 > 필멸자의 운명,1,1,100.0
BOTTOM,드레이븐,실험적 마공학판 > 끝없는 갈망 > 도미닉 경의 인사,1,1,100.0
BOTTOM,드레이븐,실험적 마공학판 > 끝없는 갈망 > 징수의 총,2,1,50.0
BOTTOM,드레이븐,실험적 마공학판 > 끝없는 갈망 > 필멸자의 운명,1,1,100.0
BOTTOM,드레이븐,실험적 마공학판 > 징수의 총 > 도미닉 경의 인사,1,0,0.0
BOTTOM,드레이븐,실험적 마공학판 > 징수의 총 > 마법광학 장치 C44,1,1,100.0
BOTTOM,드레이븐,실험적 마공학판 > 징수의 총 > 세릴다의 원한,1,1,100.0
BOTTOM,드레이븐,오만 > 그림자 검 > 기회,1,1,100.0
BOTTOM,드레이븐,오만 > 도미닉 경의 인사 > 고속 연사포,1,0,0.0
BOTTOM,드레이븐,오만 > 독사의 송곳니 > 기회,1,0,0.0
BOTTOM,드레이븐,오만 > 독사의 송곳니 > 징수의 총,1,1,100.0
BOTTOM,드레이븐,오만 > 맬모셔스의 아귀 > 도미닉 경의 인사,1,1,100.0
BOTTOM,드레이븐,오만 > 악마사냥꾼의 화살 > 피바라기,1,1,100.0
BOTTOM,드레이븐,오만 > 오만 > 징수의 총,2,1,50.0
BOTTOM,드레이븐,오만 > 정수 약탈자 > 도미닉 경의 인사,3,0,0.0
BOTTOM,드레이븐,오만 > 정수 약탈자 > 징수의 총,2,0,0.0
BOTTOM,드레이븐,오만 > 징수의 총 > 고속 연사포,1,1,100.0
BOTTOM,드레이븐,오만 > 징수의 총 > 도미닉 경의 인사,20,12,60.0
BOTTOM,드레이븐,오만 > 징수의 총 > 무한의 대검,9,4,44.44444444444444
BOTTOM,드레이븐,오만 > 징수의 총 > 밤의 끝자락,2,0,0.0
BOTTOM,드레이븐,오만 > 징수의 총 > 정수 약탈자,1,1,100.0
BOTTOM,드레이븐,오만 > 징수의 총 > 징수의 총,1,0,0.0
BOTTOM,드레이븐,오만 > 징수의 총 > 피바라기,1,0,0.0
BOTTOM,드레이븐,오만 > 피바라기 > 도미닉 경의 인사,2,0,0.0
BOTTOM,드레이븐,오만 > 피바라기 > 마법광학 장치 C44,1,1,100.0
BOTTOM,드레이븐,오만 > 피바라기 > 징수의 총,1,1,100.0
BOTTOM,드레이븐,오만 > 필멸자의 운명 > 정수 약탈자,1,0,0.0
BOTTOM,드레이븐,오만 > 헤르메스의 시미터 > 도미닉 경의 인사,2,1,50.0
BOTTOM,드레이븐,요새파괴자 > 도미닉 경의 인사 > 피바라기,1,1,100.0
BOTTOM,드레이븐,요우무의 유령검 > 도미닉 경의 인사 > 무한의 대검,4,4,100.0
BOTTOM,드레이븐,요우무의 유령검 > 도미닉 경의 인사 > 징수의 총,2,2,100.0
BOTTOM,드레이븐,요우무의 유령검 > 독사의 송곳니 > 밤의 끝자락,1,1,100.0
BOTTOM,드레이븐,요우무의 유령검 > 무한의 대검 > 도미닉 경의 인사,2,2,100.0
BOTTOM,드레이븐,요우무의 유령검 > 밤의 끝자락 > 징수의 총,1,1,100.0
BOTTOM,드레이븐,요우무의 유령검 > 벼락폭풍검 > 요새파괴자,1,1,100.0
BOTTOM,드레이븐,요우무의 유령검 > 정수 약탈자 > 피바라기,1,0,0.0
BOTTOM,드레이븐,요우무의 유령검 > 징수의 총 > 도미닉 경의 인사,3,3,100.0
BOTTOM,드레이븐,정수 약탈자 > 고속 연사포 > 무한의 대검,1,1,100.0
BOTTOM,드레이븐,정수 약탈자 > 고속 연사포 > 징수의 총,1,0,0.0
BOTTOM,드레이븐,정수 약탈자 > 도미닉 경의 인사 > 독사의 송곳니,1,0,0.0
BOTTOM,드레이븐,정수 약탈자 > 도미닉 경의 인사 > 무한의 대검,3,1,33.33333333333333
BOTTOM,드레이븐,정수 약탈자 > 마법광학 장치 C44 > 끝없는 갈망,1,0,0.0
BOTTOM,드레이븐,정수 약탈자 > 무한의 대검 > 고속 연사포,1,1,100.0
BOTTOM,드레이븐,정수 약탈자 > 무한의 대검 > 도미닉 경의 인사,21,10,47.61904761904761
BOTTOM,드레이븐,정수 약탈자 > 무한의 대검 > 루난의 허리케인,1,1,100.0
BOTTOM,드레이븐,정수 약탈자 > 무한의 대검 > 마법광학 장치 C44,1,1,100.0
BOTTOM,드레이븐,정수 약탈자 > 무한의 대검 > 요우무의 유령검,1,1,100.0
BOTTOM,드레이븐,정수 약탈자 > 무한의 대검 > 유령 무희,2,1,50.0
BOTTOM,드레이븐,정수 약탈자 > 무한의 대검 > 징수의 총,2,0,0.0
BOTTOM,드레이븐,정수 약탈자 > 무한의 대검 > 피바라기,2,1,50.0
BOTTOM,드레이븐,정수 약탈자 > 무한의 대검 > 필멸자의 운명,6,3,50.0
BOTTOM,드레이븐,정수 약탈자 > 무한의 대검 > 헤르메스의 시미터,2,1,50.0
BOTTOM,드레이븐,정수 약탈자 > 벼락폭풍검 > 도미닉 경의 인사,1,1,100.0
BOTTOM,드레이븐,정수 약탈자 > 요새파괴자 > 고속 연사포,3,3,100.0
BOTTOM,드레이븐,정수 약탈자 > 요새파괴자 > 도미닉 경의 인사,2,2,100.0
BOTTOM,드레이븐,정수 약탈자 > 요새파괴자 > 밤의 끝자락,1,1,100.0
BOTTOM,드레이븐,정수 약탈자 > 요새파괴자 > 불멸의 철갑궁,1,1,100.0
BOTTOM,드레이븐,정수 약탈자 > 요새파괴자 > 징수의 총,3,2,66.66666666666666
BOTTOM,드레이븐,정수 약탈자 > 요우무의 유령검 > 필멸자의 운명,1,1,100.0
BOTTOM,드레이븐,정수 약탈자 > 정수 약탈자 > 피바라기,1,1,100.0
BOTTOM,드레이븐,정수 약탈자 > 징수의 총 > 고속 연사포,1,1,100.0
BOTTOM,드레이븐,정수 약탈자 > 징수의 총 > 도미닉 경의 인사,25,11,44.0
BOTTOM,드레이븐,정수 약탈자 > 징수의 총 > 독사의 송곳니,1,0,0.0
BOTTOM,드레이븐,정수 약탈자 > 징수의 총 > 무한의 대검,37,20,54.054054054054056
BOTTOM,드레이븐,정수 약탈자 > 징수의 총 > 벼락폭풍검,1,1,100.0
BOTTOM,드레이븐,정수 약탈자 > 징수의 총 > 불멸의 철갑궁,1,1,100.0
BOTTOM,드레이븐,정수 약탈자 > 징수의 총 > 징수의 총,1,1,100.0
BOTTOM,드레이븐,정수 약탈자 > 징수의 총 > 피바라기,1,1,100.0
BOTTOM,드레이븐,정수 약탈자 > 징수의 총 > 필멸자의 운명,10,5,50.0
BOTTOM,드레이븐,정수 약탈자 > 폭풍갈퀴 > 도미닉 경의 인사,1,1,100.0
BOTTOM,드레이븐,정수 약탈자 > 피바라기 > 고속 연사포,1,1,100.0
BOTTOM,드레이븐,정수 약탈자 > 피바라기 > 도미닉 경의 인사,5,3,60.0
BOTTOM,드레이븐,정수 약탈자 > 피바라기 > 무한의 대검,13,10,76.92307692307693
BOTTOM,드레이븐,정수 약탈자 > 피바라기 > 징수의 총,2,2,100.0
BOTTOM,드레이븐,정수 약탈자 > 피바라기 > 필멸자의 운명,4,2,50.0
BOTTOM,드레이븐,정수 약탈자 > 필멸자의 운명 > 도미닉 경의 인사,1,0,0.0
BOTTOM,드레이븐,정수 약탈자 > 필멸자의 운명 > 무한의 대검,1,0,0.0
BOTTOM,드레이븐,정수 약탈자 > 헤르메스의 시미터 > 무한의 대검,1,0,0.0
BOTTOM,드레이븐,징수의 총 > 도미닉 경의 인사 > 무한의 대검,7,1,14.285714285714285
BOTTOM,드레이븐,징수의 총 > 도미닉 경의 인사 > 불멸의 철갑궁,1,0,0.0
BOTTOM,드레이븐,징수의 총 > 도미닉 경의 인사 > 필멸자의 운명,1,0,0.0
BOTTOM,드레이븐,징수의 총 > 도미닉 경의 인사 > 헤르메스의 시미터,1,0,0.0
BOTTOM,드레이븐,징수의 총 > 독사의 송곳니 > 도미닉 경의 인사,1,1,100.0
BOTTOM,드레이븐,징수의 총 > 마법광학 장치 C44 > 무한의 대검,1,1,100.0
BOTTOM,드레이븐,징수의 총 > 마법광학 장치 C44 > 유령 무희,1,0,0.0
BOTTOM,드레이븐,징수의 총 > 무한의 대검 > 고속 연사포,5,3,60.0
BOTTOM,드레이븐,징수의 총 > 무한의 대검 > 도미닉 경의 인사,14,7,50.0
BOTTOM,드레이븐,징수의 총 > 무한의 대검 > 마법광학 장치 C44,1,1,100.0
BOTTOM,드레이븐,징수의 총 > 무한의 대검 > 맬모셔스의 아귀,1,1,100.0
BOTTOM,드레이븐,징수의 총 > 무한의 대검 > 무한의 대검,1,0,0.0
BOTTOM,드레이븐,징수의 총 > 무한의 대검 > 불멸의 철갑궁,2,2,100.0
BOTTOM,드레이븐,징수의 총 > 무한의 대검 > 악마사냥꾼의 화살,2,1,50.0
BOTTOM,드레이븐,징수의 총 > 무한의 대검 > 피바라기,2,1,50.0
BOTTOM,드레이븐,징수의 총 > 밤의 끝자락 > 도미닉 경의 인사,1,0,0.0
BOTTOM,드레이븐,징수의 총 > 악마사냥꾼의 화살 > 무한의 대검,1,0,0.0
BOTTOM,드레이븐,징수의 총 > 오만 > 요우무의 유령검,1,0,0.0
BOTTOM,드레이븐,징수의 총 > 정수 약탈자 > 고속 연사포,1,1,100.0
BOTTOM,드레이븐,징수의 총 > 정수 약탈자 > 도미닉 경의 인사,1,1,100.0
BOTTOM,드레이븐,징수의 총 > 정수 약탈자 > 무한의 대검,2,1,50.0
BOTTOM,드레이븐,징수의 총 > 징수의 총 > 피바라기,1,0,0.0
BOTTOM,드레이븐,징수의 총 > 폭풍갈퀴 > 도미닉 경의 인사,1,0,0.0
BOTTOM,드레이븐,징수의 총 > 폭풍갈퀴 > 마법광학 장치 C44,1,1,100.0
BOTTOM,드레이븐,징수의 총 > 피바라기 > 끝없는 갈망,1,1,100.0
BOTTOM,드레이븐,징수의 총 > 피바라기 > 도미닉 경의 인사,4,2,50.0
BOTTOM,드레이븐,징수의 총 > 피바라기 > 무한의 대검,17,12,70.58823529411765
BOTTOM,드레이븐,징수의 총 > 피바라기 > 실험적 마공학판,1,1,100.0
BOTTOM,드레이븐,징수의 총 > 피바라기 > 정수 약탈자,1,0,0.0
BOTTOM,드레이븐,징수의 총 > 피바라기 > 징수의 총,1,0,0.0
BOTTOM,드레이븐,징수의 총 > 피바라기 > 필멸자의 운명,4,2,50.0
BOTTOM,드레이븐,징수의 총 > 필멸자의 운명 > 도미닉 경의 인사,1,0,0.0
BOTTOM,드레이븐,징수의 총 > 필멸자의 운명 > 독사의 송곳니,1,1,100.0
BOTTOM,드레이븐,징수의 총 > 필멸자의 운명 > 밤의 끝자락,1,1,100.0
BOTTOM,드레이븐,징수의 총 > 필멸자의 운명 > 불멸의 철갑궁,1,1,100.0
BOTTOM,드레이븐,징수의 총 > 필멸자의 운명 > 피바라기,1,0,0.0
BOTTOM,드레이븐,징수의 총 > 필멸자의 운명 > 필멸자의 운명,2,0,0.0
BOTTOM,드레이븐,폭풍갈퀴 > 고속 연사포 > 악마사냥꾼의 화살,1,1,100.0
BOTTOM,드레이븐,폭풍갈퀴 > 도미닉 경의 인사 > 무한의 대검,1,0,0.0
BOTTOM,드레이븐,폭풍갈퀴 > 정수 약탈자 > 무한의 대검,1,1,100.0
BOTTOM,드레이븐,폭풍갈퀴 > 피바라기 > 마법광학 장치 C44,1,0,0.0
BOTTOM,드레이븐,피바라기 > 도미닉 경의 인사 > 무한의 대검,11,4,36.36363636363637
BOTTOM,드레이븐,피바라기 > 도미닉 경의 인사 > 정수 약탈자,1,0,0.0
BOTTOM,드레이븐,피바라기 > 도미닉 경의 인사 > 징수의 총,2,1,50.0
BOTTOM,드레이븐,피바라기 > 독사의 송곳니 > 도미닉 경의 인사,1,1,100.0
BOTTOM,드레이븐,피바라기 > 독사의 송곳니 > 무한의 대검,2,2,100.0
BOTTOM,드레이븐,피바라기 > 독사의 송곳니 > 불멸의 철갑궁,1,1,100.0
BOTTOM,드레이븐,피바라기 > 독사의 송곳니 > 요새파괴자,1,1,100.0
BOTTOM,드레이븐,피바라기 > 독사의 송곳니 > 원칙의 원형낫,1,0,0.0
BOTTOM,드레이븐,피바라기 > 독사의 송곳니 > 정수 약탈자,1,0,0.0
BOTTOM,드레이븐,피바라기 > 독사의 송곳니 > 징수의 총,3,3,100.0
BOTTOM,드레이븐,피바라기 > 독사의 송곳니 > 필멸자의 운명,3,3,100.0
BOTTOM,드레이븐,피바라기 > 무한의 대검 > 고속 연사포,5,3,60.0
BOTTOM,드레이븐,피바라기 > 무한의 대검 > 도미닉 경의 인사,10,6,60.0
BOTTOM,드레이븐,피바라기 > 무한의 대검 > 불멸의 철갑궁,3,1,33.33333333333333
BOTTOM,드레이븐,피바라기 > 무한의 대검 > 악마사냥꾼의 화살,2,1,50.0
BOTTOM,드레이븐,피바라기 > 무한의 대검 > 유령 무희,1,0,0.0
BOTTOM,드레이븐,피바라기 > 무한의 대검 > 징수의 총,6,5,83.33333333333334
BOTTOM,드레이븐,피바라기 > 무한의 대검 > 필멸자의 운명,3,2,66.66666666666666
BOTTOM,드레이븐,피바라기 > 불멸의 철갑궁 > 마법광학 장치 C44,1,1,100.0
BOTTOM,드레이븐,피바라기 > 불멸의 철갑궁 > 무한의 대검,3,3,100.0
BOTTOM,드레이븐,피바라기 > 삼위일체 > 도미닉 경의 인사,16,6,37.5
BOTTOM,드레이븐,피바라기 > 삼위일체 > 무한의 대검,5,3,60.0
BOTTOM,드레이븐,피바라기 > 삼위일체 > 밤의 끝자락,1,1,100.0
BOTTOM,드레이븐,피바라기 > 삼위일체 > 죽음의 무도,1,1,100.0
BOTTOM,드레이븐,피바라기 > 삼위일체 > 징수의 총,1,0,0.0
BOTTOM,드레이븐,피바라기 > 삼위일체 > 필멸자의 운명,5,2,40.0
BOTTOM,드레이븐,피바라기 > 실험적 마공학판 > 삼위일체,4,1,25.0
BOTTOM,드레이븐,피바라기 > 실험적 마공학판 > 필멸자의 운명,3,1,33.33333333333333
BOTTOM,드레이븐,피바라기 > 요새파괴자 > 필멸자의 운명,1,0,0.0
BOTTOM,드레이븐,피바라기 > 요우무의 유령검 > 고속 연사포,2,1,50.0
BOTTOM,드레이븐,피바라기 > 윤 탈 야생화살 > 무한의 대검,1,0,0.0
BOTTOM,드레이븐,피바라기 > 정수 약탈자 > 고속 연사포,2,2,100.0
BOTTOM,드레이븐,피바라기 > 정수 약탈자 > 도미닉 경의 인사,24,13,54.166666666666664
BOTTOM,드레이븐,피바라기 > 정수 약탈자 > 독사의 송곳니,1,1,100.0
BOTTOM,드레이븐,피바라기 > 정수 약탈자 > 마법광학 장치 C44,2,1,50.0
BOTTOM,드레이븐,피바라기 > 정수 약탈자 > 맬모셔스의 아귀,2,2,100.0
BOTTOM,드레이븐,피바라기 > 정수 약탈자 > 무한의 대검,96,55,57.291666666666664
BOTTOM,드레이븐,피바라기 > 정수 약탈자 > 불멸의 철갑궁,2,2,100.0
BOTTOM,드레이븐,피바라기 > 정수 약탈자 > 정수 약탈자,2,0,0.0
BOTTOM,드레이븐,피바라기 > 정수 약탈자 > 징수의 총,15,10,66.66666666666666
BOTTOM,드레이븐,피바라기 > 정수 약탈자 > 폭풍갈퀴,2,1,50.0
BOTTOM,드레이븐,피바라기 > 정수 약탈자 > 필멸자의 운명,13,9,69.23076923076923
BOTTOM,드레이븐,피바라기 > 징수의 총 > 고속 연사포,5,3,60.0
BOTTOM,드레이븐,피바라기 > 징수의 총 > 도미닉 경의 인사,83,43,51.80722891566265
BOTTOM,드레이븐,피바라기 > 징수의 총 > 독사의 송곳니,5,1,20.0
BOTTOM,드레이븐,피바라기 > 징수의 총 > 마법광학 장치 C44,3,1,33.33333333333333
BOTTOM,드레이븐,피바라기 > 징수의 총 > 맬모셔스의 아귀,4,1,25.0
BOTTOM,드레이븐,피바라기 > 징수의 총 > 무한의 대검,224,137,61.16071428571429
BOTTOM,드레이븐,피바라기 > 징수의 총 > 불멸의 철갑궁,2,2,100.0
BOTTOM,드레이븐,피바라기 > 징수의 총 > 삼위일체,4,2,50.0
BOTTOM,드레이븐,피바라기 > 징수의 총 > 수호 천사,1,1,100.0
BOTTOM,드레이븐,피바라기 > 징수의 총 > 유령 무희,1,1,100.0
BOTTOM,드레이븐,피바라기 > 징수의 총 > 징수의 총,3,2,66.66666666666666
BOTTOM,드레이븐,피바라기 > 징수의 총 > 필멸자의 운명,39,22,56.41025641025641
BOTTOM,드레이븐,피바라기 > 크라켄 학살자 > 악마사냥꾼의 화살,1,1,100.0
BOTTOM,드레이븐,피바라기 > 폭풍갈퀴 > 무한의 대검,2,2,100.0
BOTTOM,드레이븐,피바라기 > 피바라기 > 무한의 대검,1,1,100.0
BOTTOM,드레이븐,피바라기 > 피바라기 > 정수 약탈자,1,1,100.0
BOTTOM,드레이븐,피바라기 > 피바라기 > 징수의 총,4,1,25.0
BOTTOM,드레이븐,피바라기 > 피바라기 > 피바라기,1,0,0.0
BOTTOM,드레이븐,피바라기 > 필멸자의 운명 > 무한의 대검,7,4,57.14285714285714
BOTTOM,드레이븐,피바라기 > 필멸자의 운명 > 불멸의 철갑궁,1,0,0.0
BOTTOM,드레이븐,피바라기 > 필멸자의 운명 > 실험적 마공학판,1,0,0.0
BOTTOM,드레이븐,피바라기 > 필멸자의 운명 > 징수의 총,1,1,100.0
BOTTOM,드레이븐,헤르메스의 시미터 > 삼위일체 > 무한의 대검,1,0,0.0
BOTTOM,라이즈,영겁의 지팡이 > 대천사의 지팡이 > 실체화 장비,5,2,40.0
BOTTOM,라이즈,영겁의 지팡이 > 대천사의 지팡이 > 혹한의 손길,1,1,100.0
BOTTOM,람머스,가시 갑옷 > 해신 작쇼 > 끝없는 절망,2,0,0.0
BOTTOM,렝가,거대한 히드라 > 끝없는 갈망 > 죽음의 무도,1,1,100.0
BOTTOM,렝가,거대한 히드라 > 끝없는 갈망 > 지배자의 피갑옷,1,0,0.0
BOTTOM,렝가,굶주린 히드라 > 죽음의 무도 > 정령의 형상,1,1,100.0
BOTTOM,렝가,굶주린 히드라 > 칠흑의 양날 도끼 > 정령의 형상,1,1,100.0
BOTTOM,렝가,삼위일체 > 굶주린 히드라 > 정령의 형상,1,1,100.0
BOTTOM,렝가,삼위일체 > 굶주린 히드라 > 죽음의 무도,2,2,100.0
BOTTOM,루시안,독사의 송곳니 > 요우무의 유령검 > 그림자 검,1,0,0.0
BOTTOM,루시안,독사의 송곳니 > 정수 약탈자 > 나보리 명멸검,2,1,50.0
BOTTOM,루시안,마법공학 총검 > 정수 약탈자 > 도미닉 경의 인사,1,0,0.0
BOTTOM,루시안,마법광학 장치 C44 > 나보리 명멸검 > 필멸자의 운명,1,1,100.0
BOTTOM,루시안,마법광학 장치 C44 > 정수 약탈자 > 나보리 명멸검,1,0,0.0
BOTTOM,루시안,몰락한 왕의 검 > 칠흑의 양날 도끼 > 정수 약탈자,1,0,0.0
BOTTOM,루시안,벼락폭풍검 > 정수 약탈자 > 고속 연사포,1,0,0.0
BOTTOM,루시안,벼락폭풍검 > 징수의 총 > 도미닉 경의 인사,1,0,0.0
BOTTOM,루시안,윤 탈 야생화살 > 폭풍갈퀴 > 무한의 대검,1,1,100.0
BOTTOM,루시안,정수 약탈자 > 고속 연사포 > 고속 연사포,1,1,100.0
BOTTOM,루시안,정수 약탈자 > 고속 연사포 > 나보리 명멸검,6,6,100.0
BOTTOM,루시안,정수 약탈자 > 고속 연사포 > 도미닉 경의 인사,15,9,60.0
BOTTOM,루시안,정수 약탈자 > 고속 연사포 > 독사의 송곳니,2,0,0.0
BOTTOM,루시안,정수 약탈자 > 고속 연사포 > 무한의 대검,128,72,56.25
BOTTOM,루시안,정수 약탈자 > 고속 연사포 > 수호 천사,1,1,100.0
BOTTOM,루시안,정수 약탈자 > 고속 연사포 > 징수의 총,2,2,100.0
BOTTOM,루시안,정수 약탈자 > 고속 연사포 > 폭풍갈퀴,6,2,33.33333333333333
BOTTOM,루시안,정수 약탈자 > 고속 연사포 > 필멸자의 운명,5,3,60.0
BOTTOM,루시안,정수 약탈자 > 나보리 명멸검 > 고속 연사포,7,3,42.857142857142854
BOTTOM,루시안,정수 약탈자 > 나보리 명멸검 > 끝없는 갈망,1,1,100.0
BOTTOM,루시안,정수 약탈자 > 나보리 명멸검 > 나보리 명멸검,27,11,40.74074074074074
BOTTOM,루시안,정수 약탈자 > 나보리 명멸검 > 대자연의 힘,1,1,100.0
BOTTOM,루시안,정수 약탈자 > 나보리 명멸검 > 도미닉 경의 인사,318,154,48.42767295597484
BOTTOM,루시안,정수 약탈자 > 나보리 명멸검 > 독사의 송곳니,22,10,45.45454545454545
BOTTOM,루시안,정수 약탈자 > 나보리 명멸검 > 마법광학 장치 C44,7,7,100.0
BOTTOM,루시안,정수 약탈자 > 나보리 명멸검 > 맬모셔스의 아귀,27,18,66.66666666666666
BOTTOM,루시안,정수 약탈자 > 나보리 명멸검 > 무한의 대검,2925,1635,55.8974358974359
BOTTOM,루시안,정수 약탈자 > 나보리 명멸검 > 불멸의 철갑궁,13,7,53.84615384615385
BOTTOM,루시안,정수 약탈자 > 나보리 명멸검 > 세릴다의 원한,1,1,100.0
BOTTOM,루시안,정수 약탈자 > 나보리 명멸검 > 수호 천사,1,1,100.0
BOTTOM,루시안,정수 약탈자 > 나보리 명멸검 > 악마사냥꾼의 화살,1,0,0.0
